End_year,Name,Release_season,Release_year,Tags
,Mushishi Zoku Shou: Odoro no Michi,,2014,"Fantasy, Seinen, Forest, Iyashikei, Supernatural, Based on a Manga"
,The Disastrous Life of Saiki K. 3,,2018,"Comedy, Shounen, Breaking the Fourth Wall, Gag, Psychic Powers, Supernatural, Superpowers, Based on a Manga"
2012,Hellsing Ultimate,,2006,"Action, Horror, Seinen, Conspiracy, England, Europe, Guns, Master-Servant Relationship, Non-Human Protagonists, Overpowered Main Characters, Religion, Supernatural, Vampires, Based on a Manga, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Suicide"
,"Natsume's Book of Friends Season 5 Specials",,2017,"Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
,"JoJo's Bizarre Adventure Re-Edited",,2014,"Action, Shounen, Hand to Hand Combat, Recap, Supernatural, Based on a Manga"
2015,Parasyte -the maxim-,Fall ,2014,"Action, Drama, Horror, Sci Fi, Seinen, Aliens, Body Sharing, Psychological, Based on a Manga, Animal Abuse,, Bullying,, Explicit Violence,, Mature Themes"
,Hikari: Be My Light,,2020,"BL, Drama, Shounen-ai, Illness, Psychological, Short Episodes, Mature Themes,, Suicide,, Self-Harm"
,Ouran High School Host Club,Spring,2006,"Comedy, Reverse Harem, Romance, Shoujo, Crossdressing, Debt, Hosts, School Club, School Life, Social Gap, Based on a Manga"
,Food Wars! The Second Plate,Summer,2016,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, School Life, Tournaments, Based on a Manga"
2005,Ghost in the Shell: Stand Alone Complex 2nd Gig,Winter,2004,"Sci Fi, Seinen, Cyberpunk, Cyborgs, Hacking, Noir, Based on a Manga"
,Barakamon,Summer,2014,"Comedy, Shounen, Slice of Life, Art, Countryside, Island, Iyashikei, Lifestyle Change, Based on a Manga"
,Noragami Aragoto,Fall ,2015,"Action, Drama, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga, Violence"
2020,Ace of the Diamond: Act II,Spring,2019,"Shounen, Sports, Baseball, Tournaments, Based on a Manga"
,Re:ZERO -Starting Life in Another World- Season 2,Summer,2020,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel, Explicit Violence"
,Ascendance of a Bookworm: Part II,Spring,2020,"Drama, Fantasy, Apprenticeship, Cheats, Isekai, Magic, Medieval, Modern Knowledge, Person in a Strange World, Reincarnation, Based on a Light Novel"
,"Kamisama Kiss: Kamisama, Shiawase ni Naru",,2016,"Comedy, Fantasy, Romance, Shoujo, Japanese Mythology, Master-Servant Relationship, Based on a Manga"
,Quanzhi Gaoshou: Tebie Pian,,2018,"Action, Drama, Chinese Animation, MMORPG, RPG, Tournaments, Based on a Web Novel"
,Steins;Gate 0,Spring,2018,"Drama, Mystery, Sci Fi, Psychological, Time Travel, Based on a Visual Novel, Violence"
,Golden Kamuy Season 3,Fall ,2020,"Action, Adventure, Drama, Historical, Military, Based on a Manga, Violence"
,Weathering With You,,2019,"Drama, Lifestyle Change, Supernatural, Writers, Original Work"
,Semantic Error,,2021,"BL, Comedy, Romance, Shounen-ai, Korean Animation, Short Episodes, Based on a Novel"
,86: Eighty-Six - Part II,Fall ,2021,"Action, Drama, Sci Fi, Military, War, Based on a Light Novel, Violence"
,Dou Po Cangqiong 4th Season,,2021,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation"
,School Babysitters,Winter,2018,"Comedy, Drama, Shoujo, Slice of Life, Childcare, Iyashikei, Lifestyle Change, Orphans, School Club, School Life, Siblings, Based on a Manga"
,Douluo Dalu,,2018,"Action, Fantasy, Chinese Animation, Cultivation, Reincarnation, Xianxia, Based on a Web Novel, CG Animation, Mature Themes,, Suicide"
,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B),,2009,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Drug Use,, Explicit Violence,, Mature Themes"
,Major Season 5,Winter,2009,"Drama, Shounen, Sports, Baseball, Based on a Manga"
,Bungo Stray Dogs 2nd Season,Fall ,2016,"Action, Mystery, Seinen, Detectives, Gangs, Guns, Mafia, Orphans, Supernatural, Superpowers, Based on a Manga, Violence"
,Maquia: When the Promised Flower Blooms,,2018,"Adventure, Drama, Fantasy, Childcare, Original Work, Violence"
,Steins;Gate: Egoistic Poriomania,,2012,"Comedy, Sci Fi, America, Based on a Visual Novel"
2006,Mushishi,Fall ,2005,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga"
,The Stranger by the Shore,,2020,"BL, Romance, Yaoi, Adult Couples, Cohabitation, Death of a Loved One, Island, LGBT Themes, Mature Romance, Orphans, Writers, Based on a Manga, Explicit Sex"
,One Piece Movie 10: Strong World,,2009,"Action, Adventure, Fantasy, Shounen, Island, Pirates, Superpowers, Based on a Manga"
,Food Wars! The Third Plate,Fall ,2017,"Comedy, Ecchi, Shounen, Boarding House, Cooking, Culinary School, Food and Beverage, Neighbors, School Life, Tournaments, Based on a Manga"
,"Kuroko's Basketball: Last Game",,2017,"Shounen, Sports, Basketball, Based on a Manga"
,Tengen Toppa Gurren Lagann,Spring,2007,"Action, Adventure, Comedy, Mecha, Sci Fi, Combining Mecha, Post-apocalyptic, Super Robot, Original Work, Violence"
,Kamisama Kiss,Fall ,2012,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Gods, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Youkai, Based on a Manga"
,Moriarty the Patriot,Fall ,2020,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga"
,"Kuroko's Basketball: The Greatest Present",,2015,"Shounen, Sports, Basketball, Based on a Manga"
,Kaguya-sama: Love Is War,Winter,2019,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, Romantic Comedy, School Life, Student Council, Based on a Manga"
,Food Wars! Shokugeki no Souma,Spring,2015,"Comedy, Ecchi, Shounen, Animeism, Boarding House, Cooking, Culinary School, Food and Beverage, Neighbors, School Life, Based on a Manga"
,Mushoku Tensei: Jobless Reincarnation,Winter,2021,"Action, Adventure, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Bullying,, Mature Themes,, Sexual Content,, Violence"
,Snow White with the Red Hair 2nd Season,Winter,2016,"Drama, Fantasy, Romance, Shoujo, Adult Couples, Mature Romance, Medical, Medieval, Royalty, Social Gap, Based on a Manga"
,"JoJo's Bizarre Adventure: Stardust Crusaders",Spring,2014,"Action, Adventure, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes"
,Natsume Yuujinchou: Itsuka Yuki no Hi ni,,2014,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
,Detective Conan: Episode One - The Great Detective Turned Small,,2016,"Action, Drama, Mystery, Age Transformation, Amusement Park, Detectives, Recap, Based on a Manga, Violence"
,No Game No Life,Spring,2014,"Adventure, Ecchi, Fantasy, High Stakes Games, Isekai, NEET, Overpowered Main Characters, Person in a Strange World, PVP, Royalty, Siblings, Based on a Light Novel"
,Chihayafuru 2,Winter,2013,"Drama, Josei, Romance, Sports, Love Triangle, School Club, School Life, Tournaments, Based on a Manga"
,Gintama: Yorinuki Gintama-san on Theater 2D,,2012,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Parody, Samurai, Swordplay, Based on a Manga"
1997,Legend of the Galactic Heroes,,1988,"Drama, Sci Fi, Military, Outer Space, Political, Rivalries, Space Opera, War, Based on a Novel, Explicit Violence,, Nudity"
,The Quintessential Quintuplets 2,Winter,2021,"Comedy, Drama, Harem, Romance, Shounen, School Life, Siblings, Tutors, Based on a Manga"
,Black Butler: Book of Murder,,2014,"Mystery, Shounen, 19th Century, Butlers, Demons, England, Europe, Master-Servant Relationship, Non-Human Protagonists, Supernatural, Based on a Manga"
,Yuri!!! on Ice: Welcome to The Madness,,2017,"Sports, Ice Skating, Original Work"
,My Neighbor Totoro,,1988,"Fantasy, Slice of Life, Contemporary Fantasy, Countryside, Family Friendly, Family Life, Japanese Mythology, Non-Human Protagonists, Siblings, Original Work"
,Food Wars! The Third Plate: Totsuki Train Arc,Spring,2018,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, School Life, Tournaments, Based on a Manga"
,Anohana: The Flower We Saw That Day,Spring,2011,"Drama, Romance, Childhood Friends, Coming of Age, Death of a Loved One, Ghosts, Melancholy, noitaminA, Supernatural, Unrequited Love, Original Work"
,Gintama: Aizome Kaori-hen,,2016,"Action, Comedy, Drama, Romance, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
,Fate/stay night: Unlimited Blade Works 2,Spring,2015,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Superpowers, Urban Fantasy, Based on an Eroge, Based on a Visual Novel, Violence"
,"Fate/stay night: Heaven's Feel II. lost butterfly",,2019,"Action, Fantasy, Romance, Magic, Superpowers, Based on an Eroge, Based on a Visual Novel, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content,, Violence"
,Hunter x Hunter OVA 3: Greed Island Final,,2004,"Action, Adventure, Shounen, Island, Martial Arts, Superpowers, Based on a Manga, Violence"
,"Kuroko's Basketball",Spring,2012,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga"
2017,Naruto Shippuden,Winter,2007,"Action, Drama, Fantasy, Shounen, Hand to Hand Combat, Ninja, Revenge, Based on a Manga"
,Maid-sama!,Spring,2010,"Comedy, Romance, Shoujo, Maids, Newly Co-ed School, Romantic Comedy, School Life, Tsundere, Based on a Manga"
2019,Fairy Tail: Final Season,Fall ,2018,"Action, Adventure, Comedy, Fantasy, Shounen, Guilds, Magic, Based on a Manga"
,Scissor Seven 3rd Season,,2021,"Action, Comedy, Assassins, Chinese Animation"
2016,Fairy Tail 2,Spring,2014,"Action, Adventure, Comedy, Fantasy, Shounen, Guilds, Magic, Based on a Manga"
,Hajime no Ippo: Champion Road,,2003,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga"
2020,Chihayafuru 3,Fall ,2019,"Drama, Josei, Romance, Sports, Love Triangle, School Club, School Life, Tournaments, Based on a Manga"
,Haikyuu!! Riku vs Kuu,,2020,"Shounen, Sports, School Club, Tournaments, Volleyball, Based on a Manga"
,Violet Evergarden Special,,2018,"Drama, Melancholy, War, Based on a Light Novel"
2012,Bakuman. 2,Fall ,2011,"Drama, Shounen, Anime Industry, Manga Industry, Otaku Culture, Voice Acting, Writers, Based on a Manga"
,Spice and Wolf II,Summer,2009,"Adventure, Drama, Fantasy, Romance, Adult Couples, Animal Characteristics, Animal Transformation, Economics, God-Human Relationship, Gods, Interspecies Relationship, Mature Romance, Medieval, Non-Human Protagonists, Based on a Light Novel"
2014,Magi: The Kingdom of Magic,Fall ,2013,"Action, Adventure, Comedy, Fantasy, Shounen, Genies, Magic, Magic School, Middle Eastern, Political, School Life, Based on a Manga"
,Black Butler: Book of Circus,Summer,2014,"Shounen, 19th Century, Animeism, Butlers, Circus, Demons, England, Europe, Master-Servant Relationship, Nobility, Non-Human Protagonists, Supernatural, Based on a Manga, Violence"
,Gintama: Shinyaku Benizakura-hen Special,,2010,"Comedy, Sci Fi, Shounen, Aliens, Feudal Japan, Parody, Samurai, Based on a Manga"
2015,Yona of the Dawn,Fall ,2014,"Adventure, Fantasy, Romance, Shoujo, Betrayal, Death of a Loved One, Orphans, Political, Prophecy, Rebellions, Reincarnation, Royalty, Weak to Strong, Based on a Manga"
,Evangelion: 3.0+1.0 Thrice Upon a Time,,2021,"Mecha, Sci Fi, Super Robot, Original Work"
,Haikyuu!! Movie 2: Shousha to Haisha,,2015,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
,School Babysitters Special,,2018,"Comedy, Shoujo, Slice of Life, Childcare, Lifestyle Change, Orphans, Siblings, Based on a Manga"
,Toilet-Bound Hanako-kun,Winter,2020,"Shounen, Ghosts, School Life, Supernatural, Urban Legend, Based on a Manga, Explicit Violence"
,Shelter,,2016,"Drama, Sci Fi, Loneliness, Virtual Reality, Original Work"
2020,Scissor Seven 2nd Season,,2019,"Action, Comedy, Amnesia, Assassins, Birds, Chinese Animation"
,Non Non Biyori Nonstop,Winter,2021,"Comedy, Seinen, Slice of Life, Countryside, Iyashikei, School Life, Based on a Manga"
2005,Samurai Champloo,Spring,2004,"Action, Adventure, Comedy, Drama, Episodic, Feudal Japan, Historical, Samurai, Swordplay, Original Work, Nudity,, Violence"
2019,Run with the Wind,Fall ,2018,"Drama, Sports, Apartment Life, Boarding House, College, Lifestyle Change, Racing, Running, Track and Field, Weak to Strong, Based on a Novel"
,My Dress-Up Darling,Winter,2022,"Comedy, Ecchi, Romance, Seinen, Gyaru, Otaku Culture, School Life, Based on a Manga"
,Grave of the Fireflies,,1988,"Drama, Autobiographies, Death of a Loved One, Historical, Lifestyle Change, Melancholy, Orphans, Poverty, Siblings, War, World War 2"
,"JoJo's Bizarre Adventure: Phantom Blood",,2007,"Action, Shounen, Supernatural, Based on a Manga"
,Tengen Toppa Gurren Lagann: Lagann-hen,,2009,"Action, Mecha, Sci Fi, Combining Mecha, Super Robot, Original Work"
,Haikyuu!! Movie 1: Owari to Hajimari,,2015,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
,No Game No Life: Zero,,2017,"Action, Adventure, Drama, Fantasy, High Stakes Games, War, Based on a Light Novel"
,Shouwa Genroku Rakugo Shinjuu,Winter,2016,"Drama, Josei, Romance, Adult Couples, Animeism, Apprenticeship, Historical, Love Triangle, Rakugo, Based on a Manga"
,Dragon Ball Super Movie: Broly,,2018,"Action, Shounen, Aliens, Hand to Hand Combat, Martial Arts, Non-Human Protagonists, Superpowers, Based on a Manga"
,Detective Conan Movie 20: The Darkest Nightmare,,2016,"Action, Drama, Mystery, Shounen, Age Transformation, Amnesia, Conspiracy, Detectives, Police, Thriller, Based on a Manga"
,Sasaki and Miyano,Winter,2022,"BL, Romance, Shounen-ai, All-Boys School, Delinquents, Fudanshi, Otaku Culture, School Life, Senpai-Kouhai Relationship, Based on a Manga"
,Black Lagoon: The Second Barrage,Fall ,2006,"Action, Seinen, Gangs, Guns, Lifestyle Change, Mercenaries, Based on a Manga, Mature Themes,, Nudity,, Violence"
2016,Ace of the Diamond: Second Season,Spring,2015,"Shounen, Sports, Baseball, Tournaments, Based on a Manga"
,My Teen Romantic Comedy SNAFU Climax,Summer,2020,"Drama, Romance, Seinen, Coming of Age, Love Triangle, School Club, School Life, Based on a Light Novel"
,Evangelion: 2.0 You Can (Not) Advance,,2009,"Action, Drama, Mecha, Sci Fi, Post-apocalyptic, Super Robot, Original Work, Violence"
,Major Season 6,Spring,2010,"Drama, Shounen, Sports, America, Baseball, Based on a Manga"
,Bungo Stray Dogs Wan!,Winter,2021,"Comedy, Seinen, Slice of Life, Chibi, Gag, Short Episodes, Supernatural, Based on a Manga"
,Made in Abyss: Hourou Suru Tasogare,,2019,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Androids, Curse, Dark Fantasy, Non-Human Protagonists, Orphans, Recap, Robots"
,Rascal Does Not Dream of Bunny Girl Senpai,Fall ,2018,"Drama, Romance, School Life, Senpai-Kouhai Relationship, Supernatural, Based on a Light Novel"
2014,Kingdom 2,Summer,2013,"Action, Drama, Seinen, Ancient China, Historical, Political, Rebellions, Royalty, Swordplay, War, Based on a Manga"
2010,InuYasha: The Final Act,Fall ,2009,"Fantasy, Shounen, Animal Characteristics, Demons, Feudal Japan, Person in a Strange World, Time Travel, Based on a Manga"
,Gintama: The Semi-Final,Winter,2021,"Comedy, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Swordplay, Based on a Manga"
,Major Season 3,Winter,2007,"Drama, Shounen, Sports, Baseball, Based on a Manga"
,Bungo Stray Dogs Movie: Dead Apple,,2018,"Action, Mystery, Seinen, Detectives, Supernatural, Superpowers, Based on a Manga, Violence"
2012,Major: World Series,,2011,"Drama, Shounen, Sports, Baseball, Based on a Manga"
,Overlord,Summer,2015,"Action, Adventure, Fantasy, Sci Fi, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel, Violence"
,Shanhe Jian Xin,,2021,"Action, BL, Fantasy, Shounen-ai, Chinese Animation, Historical, Based on a Web Novel, CG Animation"
,World Trigger 3rd Season,Fall ,2021,"Action, Sci Fi, Shounen, Monsters, Based on a Manga"
,Nausicaa of the Valley of the Wind,,1984,"Drama, Fantasy, Environmental, Insects, Based on a Manga"
,Blue Spring Ride: Page.13,,2014,"Drama, Romance, Shoujo, Based on a Manga"
2018,"The Ancient Magus' Bride",Fall ,2017,"Drama, Fantasy, Romance, Apprenticeship, Contemporary Fantasy, England, Europe, Interspecies Relationship, Lifestyle Change, Magic, Non-Human Protagonists, Orphans, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Violence"
,Hunter x Hunter OVA 2: Greed Island,,2003,"Action, Adventure, Shounen, Island, Martial Arts, Superpowers, Based on a Manga"
2005,Monster,Spring,2004,"Drama, Mystery, Seinen, Conspiracy, Crime, Doctors, Europe, Framed for a Crime, Germany, Medical, Noir, Psychological, Psychopaths, Revenge, Serial Killers, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse"
2004,Fullmetal Alchemist,Fall ,2003,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse"
,Kids on the Slope,Spring,2012,"Drama, Josei, Romance, Coming of Age, Historical, Lifestyle Change, Love Triangle, Music, noitaminA, Based on a Manga"
,Assassination Classroom,Winter,2015,"Action, Comedy, Sci Fi, Shounen, Aliens, Assassins, Non-Human Protagonists, Overpowered Main Characters, Parody, School Life, Teaching, Based on a Manga"
