End_year,Name,Release_season,Release_year
,"Science Fell in Love, So I Tried to Prove It",Winter,2020
2008,Hayate the Combat Butler!,Spring,2007
,"Healin' Good Pretty Cure Movie: Yume no Machi de Kyun! Tto GoGo! Daihenshin!!",,2021
1992,Mobile Suit Gundam 0083: Stardust Memory,,1991
,Elfen Lied: In the Passing Rain,,2005
,Tsubasa Reservoir Chronicle The Movie: The Princess in the Birdcage Kingdom,,2005
,Yuru Yuri,Summer,2011
,Qin Shi Mingyue: Tian Xing Jiu Ge 2nd Season,,2019
,New Gods: Nezha Reborn,,2021
,"If My Favorite Pop Idol Made it to the Budokan, I Would Die",Winter,2020
,Digimon Adventure Movie 1,,1999
,Strike the Blood: Kingdom of the Valkyria,,2015
,Hetalia: Axis Powers Fan Disc,,2010
,To Love Ru: Multiplication - Mae kara Ushiro kara,,2017
,Nogizaka Haruka no Himitsu: Finale,,2012
,Pretty Cure All Stars New Stage 3: Eien no Tomodachi,,2014
2015,Hori-san to Miyamura-kun,,2012
,"Otaku's Offspring",,2021
1993,Mikan Enikki,,1992
2017,Strike the Blood II,,2016
,B: The Beginning,Winter,2018
,Laughing Under the Clouds Gaiden: Movie 2,,2018
,One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue,,2007
,Urusei Yatsura Movie 5: The Final Chapter,,1988
,Super Crooks,Fall ,2021
,Tonari no Seki-kun: The Master of Killing Time OVA,,2014
,True Tears,Winter,2008
,Himouto! Umaru-chan,Summer,2015
,City Hunter: .357 Magnum,,1989
,"You're Being Summoned, Azazel Z",Spring,2013
,Meiji Tokyo Renka Movie 2: Hanakagami no Fantasia,,2016
,Beelzebub Jump Super Anime Tour Special,,2010
,Fox Spirit Matchmaker Season 2,,2016
,Ado: Usseewa,,2020
,"Blue Exorcist: Kuro's Trip Away From Home",,2011
1997,Slayers: The Book of Spells,,1996
,Symphogear AXZ,Summer,2017
,Sailor Moon Sailor Stars Memorial,,1999
,Laid-Back Camp Specials,,2018
,Ah! My Goddess TV,Winter,2005
,Corpse Princess: Kuro,Winter,2009
,Aoharu x Machinegun: This is a Battlefield for Beasts!,,2015
,Aldnoah.Zero 2nd Season,Winter,2015
,Detective Conan: Anti-Crime Guide,,2006
,New Game! Special,,2017
,Outbreak Company,Fall ,2013
2017,Fox Spirit Matchmaker Season 4,,2016
2017,Twin Star Exorcists,Spring,2016
,Love Live! Sunshine!!,Summer,2016
,"Asura Cryin' 2",Fall ,2009
,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,,2008
,Sekirei,Summer,2008
,Wasteful Days of High School Girls,Summer,2019
,Black Bullet,Spring,2014
,Mahoujin Guru Guru (2017),Summer,2017
,"Detective Conan OVA 5: The Target is Kogoro! The Detective Boys' Secret Investigation",,2005
,Lupin III Special 12: Missed by a Dollar,,2000
,"I've Always Liked You Special",,2016
,Crayon Shin-chan Specials,,1992
,BanG Dream! Movie: Episode of Roselia - Part I: Yakusoku,,2021
,Koikimo,Spring,2021
1996,Gokinjo Monogatari,Summer,1995
,Eve & suis: Heikousen,,2021
2018,Qin Shi Mingyue: Tian Xing Jiu Ge,,2016
,Bokurano,Spring,2007
,One Piece Special 4: The Detective Memoirs of Chief Straw Hat Luffy,,2005
,Nobunaga Concerto,,2014
,Michiru Rescue!,,2020
,Date a Live,Spring,2013
2021,Kiratto Pri-chan 3rd Season,Spring,2020
,Yingxiong Zailin,,2020
2011,Heartcatch Pretty Cure!,Winter,2010
,Summer Days with Coo,,2007
,"Miss Kobayashi's Dragon Maid Specials",,2017
1991,Pygmalio,,1990
,Wolf Girl and Black Prince,Fall ,2014
,Kantai Collection: Kan Colle Movie,,2016
,Aria the Natural Special,,2006
,Hanhua Riji,,2019
,"The Haunted House Movie 2: Sky Goblin, The Great Jormungandr",,2019
,Bear Bear Bear Kuma!,Fall ,2020
,Joleobban,,2016
2016,Shen Ming Zhi Zhou,,2015
,Please Teacher: Secret Couple,,2002
,Shakugan no Shana Movie,,2007
,www.Working!!,Fall ,2016
,Monsuno 3rd Season,Summer,2014
,"Kuroko's Basketball: Last Game - NG-shuu",,2017
,Ben-To,Fall ,2011
,Rosario + Vampire Capu2,Fall ,2008
,"Lupin III: Fujiko's Lie",,2019
,Welcome to THE SPACE SHOW,,2010
2013,Saint Young Men OVA,,2012
,"Doraemon Movie 34: New Nobita's Great Demon - Peko and the Exploration Party of Five",,2014
,Brave Story,,2006
,The [email protected] Movie: Kagayaki no Mukougawa e!,,2014
,I Can’t Understand What My Husband Is Saying: 2nd Thread,Spring,2015
,Kiddy Grade: Truth Dawn,,2007
2000,"Now and Then, Here and There",Fall ,1999
,Sailor Moon Memorial,,1998
,Yaoguai Mingdan 2nd Season,,2017
,Fuse: Memoirs of a Huntress,,2012
,Tsurune: Dangerous Shoot,,2019
,Sword Art Online Alternative: Gun Gale Online,Spring,2018
,Chikyuu Monogatari Telepath 2500,,1984
,Fist of the North Star: Legend of Raoh - Death for Love,,2006
,Xing Hai Qishi: Part II,,2021
,Is the Order a Rabbit?? ~Sing For You~,,2019
,"""Bungaku Shoujo"" Movie",,2010
,Mobile Suit Gundam: Thunderbolt - Bandit Flower,,2017
,Humanity Has Declined,Summer,2012
,Ghost in the Shell: Stand Alone Complex - Individual Eleven - Tachikoma Days,,2006
,Nogizaka Haruka no Himitsu,Summer,2008
,Eve: Yoru wa Honoka,,2021
,The Duke of Death and His Maid,Summer,2021
,Kamigami no Asobi,Spring,2014
,How Heavy Are the Dumbbells You Lift?,Summer,2019
2018,Aishen Qiaokeli-ing... II,,2017
,"Student Council's Discretion Lv. 2",Fall ,2012
,Mushoku Tensei: Jobless Reincarnation PV,,2019
,Tokyo Majin: 2nd Act,Summer,2007
2017,Tenchi Muyo! Ryo-Ohki 4,,2016
,Jin-Roh: The Wolf Brigade,,2000
,Amagami SS,Summer,2010
2000,Digimon Adventure,Winter,1999
2021,"Memory of Chang'an",,2020
,Fox Spirit Matchmaker Season 7,,2019
,Pokemon Movie 21: The Power of Us,,2018
,Oreimo,Fall ,2010
,Record of Lodoss War,,1990
,Hiyokoi,,2010
1988,Fist of the North Star 2,,1987
,Traveling Daru,,2012
,Keina Suda: Veil,,2019
,Wangu Xian Qiong III,,2019
,"You're Under Arrest! The Movie",,1999
,Zoku Touken Ranbu: Hanamaru,Winter,2018
,The Big O II,,2003
,One Piece: Romance Dawn,,2019
2005,My-Hime,Fall ,2004
2019,Captain Tsubasa (2018),Spring,2018
,Aishiteruze Baby,Spring,2004
,"One Piece: Django's Dance Carnival",,2001
,Shinkansen Henkei Robo Shinkalion Movie: Mirai Kara Shinsoku no ALFA-X,,2019
,Aoki Hagane no Arpeggio: Ars Nova,Fall ,2013
2018,Fox Spirit Matchmaker Season 6,,2017
,Dogs: Bullets & Carnage,,2009
,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie,,2018
1996,Sailor Moon Super S,,1995
,Shigofumi,Winter,2008
,Joker 2,Spring,2015
,Hiragana Danshi Movie: Jo,,2018
,Kono Shihai kara no Sotsugyou: Ozaki Yutaka,,2004
,Slayers Premium,,2001
,Zoids: Guardian Force,Spring,2000
,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha,,2017
2018,Future Card Buddyfight X,Spring,2017
,City Hunter: The Secret Service,,1996
,Diary of Our Days at the Breakwater,Spring,2020
2006,Hell Girl,Fall ,2005
,EGOIST: The Everlasting Guilty Crown,,2012
,Pani Poni Dash! Special,,2009
,"Ranma 1/2: The Movie - Big Trouble in Nekonron, China",,1991
2011,.hack//Quantum,,2010
,YOASOBI: Yoru Ni Kakeru,,2019
,Kyuu ni Subete ga Iya ni Natta Uupaaruupaa,,2020
,Star Blazers: Space Battleship Yamato 2202 Movie,,2021
,My-Otome 0 ~S.ifr~,,2008
2014,Aikatsu! 2,Fall ,2013
2013,Robotics;Notes,Fall ,2012
1992,Dragon Quest: Dai no Daibouken,,1991
,Tegami Bachi: Letter Bee - Light and Blue Night Fantasy,,2008
,Sailor Moon Super S Memorial,,1999
1996,Irresponsible Captain Tylor OVA,,1994
2006,Ghost in the Shell: Stand Alone Complex 2nd Gig - Tachikoma Days,,2004
,Koro-sensei Q!,,2016
,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,,2013
,Ling Long: Incarnation Zhong Zhang (2021),,2021
,Nyan Koi!,Fall ,2009
,Summer Ghost,,2021
1983,Space Adventure Cobra,,1982
,Youkai Watch Movie 4: Shadowside - Oni-ou no Fukkatsu,,2017
2016,God Eater,Summer,2015
,Hiiro no Kakera: The Tamayori Princess Saga 2,Fall ,2012
,The World God Only Knows: Four Girls and an Idol,,2011
,Baki the Grappler: Maximum Tournament,Summer,2001
,Love of Kill,Winter,2022
,Cyber Formula Graffiti,,1992
,RIN: Daughters of Mnemosyne,,2008
,"Student Council's Discretion",Fall ,2009
,Sailor Moon S Memorial,,1999
,Oblivion Island: Haruka and the Magic Mirror,,2009
,Oreimo 2,Spring,2013
,Yowamushi Pedal: Re:RIDE,,2014
,Detective Conan OVA 3: Conan and Heiji and the Vanished Boy,,2003
,Doraemon: Nobita no Getsumen Tansaki,,2019
2003,Petite Princess Yucie,Fall ,2002
,One Piece Movie 2: Clockwork Island Adventure,,2001
,Honobono Log,Spring,2016
,Genshiken: Second Generation,Summer,2013
,Guomin Laogong Dai Huijia 4th Season,,2018
2014,Strike the Blood,Fall ,2013
,Baka and Test - Summon the Beasts Specials,,2010
,The Aquatope on White Sand,Summer,2021
,Re: Hamatora,Summer,2014
,Rokka: Braves of the Six Flowers,Summer,2015
2013,Qin Shi Mingyue Si: Wanli Changcheng,,2012
,Bokutachi no Peace River,,1998
1990,Butten Monogatari,,1986
2000,Zoids: Chaotic Century,,1999
,Hi no Ame ga Furu,,1988
,Lupin III: Part IV Specials,,2015
2019,Ace Attorney Season 2,Fall ,2018
,Appare-Ranman!,Spring,2020
,Oasis: Falling Down,,2009
,Detective Conan: The Mysterious Written Invitation Case,,1998
,Tamayura: Sotsugyou Shashin Movie 1 - Kizashi,,2015
2006,Black Cat,Fall ,2005
,Inochi no Chikyuu: Dioxin no Natsu,,2001
,Ie Naki Ko Remi (2001),,2001
2020,AOTU Shijie 3,,2019
2007,Utawarerumono Specials,,2006
,Uta no Prince-sama: Maji Love Revolutions,Spring,2015
,"Hetalia Axis Powers: Paint it, White!",,2010
,Fafner Exodus 2nd Season,Fall ,2015
,Haiyore! Nyaruko-san W,Spring,2013
,City Hunter: Death of the Vicious Criminal Ryo Saeba,,1999
,Rainbow Days,Winter,2016
2003,Get Backers,Fall ,2002
,Doraemon (1973),,1973
,"The Familiar of Zero: ""Rondo"" of Princesses - Seductive Beach",,2008
2013,Saki: Episode of Side A Specials,,2012
,"I've Always Liked You",,2016
,Myself; Yourself,Fall ,2007
2015,Strike Witches: Operation Victory Arrow,,2014
,Dragon Ball Z Movie 13: Wrath of the Dragon,,1995
,Detective Conan: The Magician of Starlight,,2012
,A3! Season Spring & Summer,Winter,2020
,Angels of Death,Summer,2018
,Record of Grancrest War,Winter,2018
,The [email protected] SideM: Wake Atte Mini! Specials,,2019
,Himouto! Umaru-chan: Umaru-chan Mou Ikkai!,,2015
,Hakumei and Mikochi Special,,2018
2006,Noein: To Your Other Self,Fall ,2005
,Laughing Under the Clouds,Fall ,2014
,Mobile Suit Gundam Unicorn RE:0096,Spring,2016
,Tsushima Maru: Sayounara Okinawa,,1982
,"Doraemon Movie 22: Nobita's Winged Heroes",,2001
,Tobidasu PriPara: Minna de Mezase! Idol☆Grand Prix,,2015
,Tanuki to Kitsune,Winter,2018
,Okami-san & Her Seven Companions,Summer,2010
,"Tengen Toppa Gurren Lagann Gekijouban Zenyasai Special: Viral's Sweet Dream",,2009
2011,Jewelpet Twinkle,Spring,2010
,Another 0-kan,,2012
,Broken Blade TV,Spring,2014
,The House,,2011
,Sore Ike! Anpanman: Happy no Daibouken,,2005
,Zeno: Kagirinaki Ai ni,,1999
,Slayers: The Motion Picture,,1995
2021,Strike the Blood IV,,2020
,Lost Song,Spring,2018
2004,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,1996
,K: Seven Stories Movie 3 - SIDE:GREEN ~Overwrite World~,,2018
2009,Mahou Sensei Negima! ~Shiroki Tsubasa Ala Alba~,,2008
,Ghost in the Shell: Arise - Alternative Architecture,Spring,2015
,Baki,Summer,2018
,Mii-chan no Tenohira,,1993
,Future Card Buddyfight: All-Star Fight,Spring,2018
,Daicon III Opening Animation,,1981
,Nogizaka Haruka no Himitsu: Purezza,Fall ,2009
2004,Ashita no Nadja,Winter,2003
,Saint Seiya Movie 5: The Heaven Chapter - Overture,,2004
2013,Little Busters!,Fall ,2012
,"Love Hina X'mas Special: Silent Eve",,2000
,Aoki Hagane no Arpeggio: Ars Nova DC,,2015
,Hikaru no Go: Memories,,2004
1997,Martian Successor Nadesico,,1996
,Kowarekake no Orgel,,2009
2014,Yozakura Quartet: Tsuki ni Naku,,2013
1979,Captain Harlock,,1978
,Lupin III: Dead or Alive,,1996
1987,Fist of the North Star,,1984
,Joshiraku OVA,,2013
,Hakuouki: Record of the Jade Blood Episode 0,,2010
2021,"Healin' Good Pretty Cure",Winter,2020
,Sing a Bit of Harmony,,2021
,STARMYU 2,Spring,2017
2021,Black Clover: Petit Clover Advance,,2018
,Kimi ni Todoke - From Me To You 2nd Season Specials,,2011
,You and Me.,Fall ,2011
,Pokemon Movie 1: The First Movie,,1998
,"Doraemon Movie 25: Nobita's Wannyan Space-Time Legend",,2004
,Hanamaru Kindergarten,Winter,2010
2021,Fafner: The Beyond,,2019
,Wangan Midnight,,2007
1999,His and Her Circumstances,Fall ,1998
2007,Buso Renkin,Fall ,2006
,Midori Days,Spring,2004
,Golden Kamuy OVA,,2018
2004,Saiyuki Reload,Fall ,2003
,Li Shi,,2020
,Patema Inverted: Beginning of the Day,Winter,2012
,BLAME! Movie,,2017
,Bemubemu Hunter Kotengu Tenmaru,,1983
,"Aura: Koga Maryuin's Last War",,2013
,Fate/Apocrypha,Summer,2017
,Seitokai no Ichizon (2013),,2013
,Transformers: War for Cybertron - Siege,Summer,2020
,Yowamushi Pedal: Re:ROAD,,2015
2013,Tottoko Hamtaro (2012),Spring,2012
,Hunter x Hunter: Jump Super Anime Tour 1998,,1998
,Appleseed: Ex Machina,,2007
,Juju Sanpo,Fall ,2020
,Rozen Maiden,Fall ,2004
,Pokemon XY&Z Specials,,2016
,Zombieland Saga: Saga Jihen,,2019
,Me! Me! Me!,,2014
2013,Polar Bear Cafe,Spring,2012
,Sore Ike! Anpanman: Black Nose to Mahou no Uta,,2010
,Sore Ike! Anpanman: Mija to Mahou no Lamp,,2015
,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone Specials,,2001
,Youxia Zhanji,,2021
,Arakawa Under the Bridge,Spring,2010
,Ani x Para: Who is Your Hero?,,2017
,"The Seven Deadly Sins: Dragon's Judgement",Winter,2021
,Happy Birthday Inochi Kagayaku Toki,,1999
,Xie Wang Zhui Qi,,2019
,Kimetsu Gakuen: Valentine-hen,,2021
,Only Yesterday,,1991
,Sakigake!! Otokojuku,,1988
,Resident Evil: Damnation,,2012
2011,Qin Shi Mingyue: Zhu Zi Bai Jia,,2010
2016,Magical Suite Prism Nana,,2015
,Fena: Pirate Princess,Summer,2021
,Uta no Prince-sama: Maji Love 1000%,Summer,2011
1999,Shounan Bakusouzoku,,1986
,Hana Kappa Movie: Hana-sake! Pakkaan Chou no Kuni no Daibouken,,2013
1992,Patlabor: The Mobile Police - New Files,,1990
,Ride Back,Winter,2009
,Detective Conan Movie 10: Promo Special,,2006
,Death March to the Parallel World Rhapsody,Winter,2018
,Star Wars: Visions,Summer,2021
1985,Lupin III: Part III,,1984
2019,Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,Summer,2018
,Nagasarete Airantou,Spring,2007
1983,Captain Harlock: Arcadia of my Youth - Endless Orbit SSX,,1982
2001,Saiyuki,Spring,2000
,High School DxD Specials,,2012
,Ushiro no Shoumen Dare,,1991
,Oshie to Tabi Suru Otoko,,2018
,Angel Densetsu,,1996
,Wan Jie Qi Yuan,,2021
,Nekketsu Jinmen Inu: Life Is Movie,,2014
,Magical Girl Lyrical Nanoha,Fall ,2004
,"Sound! Euphonium: Ready, Set, Monaka",,2015
,Furiko,,2012
,Space Runaway Ideon: Be Invoked,,1982
,Yozakura Quartet: Hana no Uta,Fall ,2013
,"Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note",Summer,2019
,Yowamushi Pedal: Special Ride,,2013
,Lupin III: Part V - Is Lupin Still Burning?,,2018
,Youkai Watch Movie 5: Forever Friends,,2018
2021,Hanhua Riji 2nd Season,,2020
2010,Black Lagoon Specials,,2009
2013,Ah! My Goddess (2011),,2011
1979,Star Blazers: The Comet Empire,,1978
2007,Code Geass: Lelouch of the Rebellion Recaps,,2006
,Taikong Lixianji,,2010
,REC,Winter,2006
,Koukyoushihen: Eureka Seven - Hi-Evolution 3,,2021
2006,Ajisai no Uta,,2004
2008,Kimikiss Pure Rouge,Fall ,2007
,Aria the Crepuscolo,,2021
,Planetarium Pokémon: Aurora kara no Message,,2020
,Love Hina Again,,2002
,Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,Spring,2017
1999,Glass Mask OVA,,1998
,Comic Girls,Spring,2018
2000,Cardcaptor Sakura Specials,,1998
,Cocolors,,2017
,GJ-bu,Winter,2013
,STARMYU in Halloween,,2018
2018,Hua Jianghu Zhi Huan Shi Men Sheng,,2017
,Jueming Xiangying,,2019
,Sarazanmai,Spring,2019
,Lupin III Special 13: Alcatraz Connection,,2001
,Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,,2019
,Fist of the North Star: Legend of Toki,,2008
,Mahoutsukai Haley no Speed Story,,2010
,Sore Ike! Anpanman: Omocha no Hoshi no Nanda to Runda,,2016
,Prince of Light - The Legend of Ramayana,,1998
,Maid-sama! LaLa Special,,2010
,Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari Da Nyan!,,2015
,Air Gear: Special Trick,,2007
,Kurenai,Spring,2008
,City Hunter: Million Dollar Conspiracy,,1990
,Log Horizon: Destruction of the Round Table,Winter,2021
,Persona 5 the Animation: Dark Sun...,,2018
,One Piece: Dream Soccer King!,,2002
,Stellvia of the Universe,Spring,2003
,Pale Cocoon,,2005
1991,Urusei Yatsura OVA,,1985
,Lupin III: The Fuma Conspiracy,,1987
,Black Jack (2001),,2001
,Super Cub,Spring,2021
2006,Kamichu! Specials,,2005
1997,Sekai no Hikari: Shinran Shounin,,1992
,Makkuro na Obentou,,1990
1999,Yume no Crayon Oukoku,Summer,1997
,Sound of the Sky,Winter,2010
,Gundam Build Divers Re:RISE 2nd Season,Spring,2020
,The Red Turtle,,2016
,Mobile Suit Gundam: Thunderbolt 2nd Season,Winter,2017
2004,Croket!,Spring,2003
,Genbanojou,,2017
,Hamatora,Winter,2014
,The Third: The Girl with the Blue Eye,Spring,2006
,Pokemon: The Origin of Mewtwo,,1999
,HoneyWorks: Tokyo Autumn Session,,2020
,Free! -Take Your Marks- Character Butai Aisatsu,,2017
,Paranoia Agent,Winter,2004
,"The Genius Prince's Guide To Raising a Nation Out of Debt",Winter,2022
,Wo Qi Ku Le Baiwan Xiulianzhe,,2021
,Clannad Movie,,2007
,Lupin III Special 20: Sweet Lost Night,,2008
,Rurouni Kenshin DVD-BOX Zenshu Kenshinden,,2007
,"Detective Conan OVA 8: High School Girl Detective Sonoko Suzuki's Case Files",,2008
,Mahou Tsukai Pretty Cure! Movie: Kiseki no Henshin! Cure Mofurun!,,2016
,One Piece 3D: Mugiwara Chase,,2011
,Sugar Bunnies Fleur Specials,,2010
,Sore Ike! Anpanman: Kokin-chan to Aoi Namida,,2006
,"You're Under Arrest: Mini-Specials",Spring,1999
2017,The Haunted House: The Secret of the Ghost Ball,,2016
,Wangu Xian Qiong IV,,2020
,"Sengoku Basara: Samurai Kings - Clash in the Inland Sea of Seto! Fugaku, the Great Fire-Belching Fortress of the Sea!",,2010
,HENNEKO - The Hentai Prince and the Stony Cat,Spring,2013
,Lupin III Special 27: Goodbye Partner,,2019
,Senjou no Valkyria 3: Tagatame no Juusou,,2011
,The Betrayal Knows My Name,Spring,2010
,Un-Go,Fall ,2011
2000,Phantom Thief Jeanne,Winter,1999
,Black Blood Brothers,Fall ,2006
,Tannishou wo Hiraku,,2019
,"I Can't Understand What My Husband is Saying",Fall ,2014
,Rockman.EXE: Hikari to Yami no Program,,2005
,Jing: King of Bandits - Seventh Heaven,,2004
,Mala Nu Pei,,2020
,Attack on Titan 3rd Season: Part II Specials,,2019
,Monster Musume no Iru Nichijou,Summer,2015
,Princess Nine,Spring,1998
2007,Karas,,2005
,The Strongest Sage with the Weakest Crest,Winter,2022
,Crayon Shin-chan Movie 9: The Adult Empire Strikes Back,,2001
,Fei Ren Zai 2nd Season,,2020
,Jang Geum Ieui Kkum 2,,2007
,Qinling Shen Shu,,2021
2014,Cardfight!! Vanguard: Link Joker,Winter,2013
,Vandread,Fall ,2000
,WATATEN! an Angel Flew Down to Me Special,,2019
,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,,2010
,Scrapped Princess,Spring,2003
,Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka,,2019
,Amanchu! The Story of the Promised Summer and New Memories,,2017
,Demon King Daimao,Spring,2010
,Kiddy Grade: Maelstrom,,2007
,Selector Spread WIXOSS,Fall ,2014
,Tari Tari,Summer,2012
,Aria the Animation,Fall ,2005
2021,An Jie Shen Shi,,2020
,Yoru no Kuni,Spring,2021
,Sengoku Night Blood: Ongaku Dai Tokushuu,,2017
,Ranma 1/2: Tendou-ke no Oyobidenai Yatsura!,,1992
,Kuiba Movie 3: Zhanshen Jueqi,,2014
1991,Fujiko F. Fujio: Sukoshi Fushigi Tanpen Theater,,1990
,Please Teacher,Winter,2002
,Mr. Osomatsu: Virgin Hero,,2016
,Kuromukuro,Spring,2016
,Dragon Pilot: Hisone & Masotan,Spring,2018
2020,"I'm From Japan",Spring,2019
,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,,2009
,Gleipnir,Spring,2020
2019,Future Card Buddyfight Ace,Spring,2018
2002,Daa! Daa! Daa!,Spring,2000
,Revue Starlight,Summer,2018
2015,PriPara,Summer,2014
,Marmalade Boy Movie,,1995
,Little Nemo: Adventures in Slumberland,,1989
,C: The Money of Soul and Possibility Control,Spring,2011
2020,Nizhuan Ciyuan: AI Jueqi,,2019
,Shirahata no Shoujo Ryuuko,,1988
,D-Frag! OVA,,2014
,Peace Maker Kurogane: Friend,,2018
1986,Shouwa Ahozoushi Akanuke Ichiban!,,1985
,The Asterisk War,Fall ,2015
,Magimoji Rurumo: The Conclusion,,2019
,Countdown,,2002
,Saki: The Nationals,Winter,2014
,Rakshasa Street 2nd Season: Part II,,2021
,Nitaboh: Tsugaru Shamisen Shiso Gaibun,,2004
,"La Corda D'Oro ~Primo Passo~ A Summer Encore",,2007
,Berserk (2017),Spring,2017
2009,Tales of the Abyss,Fall ,2008
,Chaika: The Coffin Princess - Avenging Battle,Fall ,2014
,Ground Control to Psychoelectric Girl: The Nighttime Sun,,2012
,Tokyo 24th Ward,Winter,2022
,Your Light: Kase-san and Morning Glories,Spring,2017
1972,Lupin III,,1971
,Nintama Rantarou Movie 2: Ninjutsu Gakuen Zenin Shutsudou! no Dan,,2011
,Dareka no Manazashi,,2013
,Chaika: The Coffin Princess,Spring,2014
,"Love, Chunibyo & Other Delusions! Lite",Fall ,2012
,Yu Yu Hakusho The Movie: Poltergeist Report,,1994
,She and Her Cat,,1999
,Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,,2016
,Afro Samurai Resurrection,,2009
2007,My-Otome Zwei,,2006
,Otona Joshi no Anime Time: Kawamo o Suberu Kaze,,2011
,Lanndo: Uchuu no Kisetsu,,2021
,Eve: Yuuseiboushi,,2021
,Kannagi,Fall ,2008
,Mahou Sensei Negima! ~Mou Hitotsu Sekai~ Magical Girl Yue,,2010
,Persona 5 The Animation: The Day Breakers,,2016
,"Eve: raison d'etre",,2019
1988,Kimagure Orange Road,,1987
,Sailor Moon R Memorial,,1998
,One Piece Recap,,2010
,Tower of Druaga: the Sword of Uruk,Winter,2009
,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,,2007
,The Haunted House: The Secret of the Cave,,2018
,Mirai,,2018
,Ticonderonga no Iru Umi,,1991
,My Mental Choices are Completely Interfering with my School Romantic Comedy,Fall ,2013
,One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou,,1999
,Buddy Complex: Into the Skies of Tomorrow,,2014
2020,Blade of the Immortal (2019),Fall ,2019
